,dir,LoC,frac
0,,16243,0.0
1,contrib,456,0.028073631718278643
2,contrib/fast-import,456,1.0
3,git-gui,2355,0.144985532229268
4,git-gui/po,2354,0.9995753715498938
5,gitk-git,901,0.05547004863633565
6,gitk-git/po,901,1.0
7,po,12517,0.7706088776703811
8,t,10,0.0006156498183833036
