,dir,LoC,frac
0,,13907,0.0
1,Documentation,150,0.010785935140576687
2,block-sha1,211,0.015172215431077874
3,builtin,3634,0.26130725533903787
4,compat,21,0.0015100309196807364
5,contrib,473,0.03401164880995182
6,contrib/convert-objects,283,0.5983086680761099
7,contrib/examples,190,0.40169133192389006
8,gitk-git,18,0.0012943122168692027
9,t,677,0.04868052060113612
10,t/t5100,71,0.10487444608567208
11,t/t5515,174,0.2570162481536189
12,xdiff,1524,0.10958510102825915
